Anthropicaware,BDaware,DMaware,OAaware,AFaware,AGaware,CGPTaware,Ciceroaware,Claudeaware,GPT4aware,Sophiaaware,NNaware,TFaware,TSaware,Amariaware,SCaware,chatbottrust,LLMtrust,robottrust,gameAItrust,relativeLLMchatbottrust,trainingdatatrust,algorithmtrust,outputtrust,companytrust,engineertrust,governmenttrust,admiration,awe,pride,compassion,excitement,respect,AID1,AID2,AID3,AID4,AID5,RS1,RS2,RS3,RS4,RS5,RS6,RS7,RS8,RS9,SI1,SI2,SI3,SI4,PMC1,PMC3,PMC4,PMC8,PMC9,PMC10,PMC11,PMC12,PMC13,LLM1,LLM2,LLM3,MP1,MP2,MP3,MP4,owngoals,safegoals,upholding,selfaware,sitaware,selfcontrol,understanding,friendliness,power,ownmotives,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,F1,F11,chatGPTsentient,emergence,HLAIemergence,SIemergence,SF1,SF2,upload1,upload2,universe,YG1,YG2,YG3,YG4,MCA1,MCA2,MCEn1,MCEn2,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,age,gender,region,raceethnicity,education,income,zipcode,Pcode,religionRNR,dietMR,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,exp_prop,RS1_r,education_recode,age_recode,income_recode,weight
(4) probably no,(5) no,(6) definitely no,(3) probably yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(2) yes,(5) no,(5) no,(5) no,6,6,5,6,4,2.08,4.6,2.44,1,2.62,1,3.16,7,2.62,2.74,2.98,3.64,No,No,Yes,7,It's too fast.,2,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1,1,1,1,7,2,1,1,7,1,0,0,79,65,18,23,0,59,54,20,23,63,18,9,1,1,1,1,1,7,No,Yes,No,1,2,1,6,5,1,1,One without humans,Very concerned,Very likely,Strongly support,Strongly support,7,6,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",4,1,1,None,,Meat-eater,"AI are not real. We should not be treating them like people in any way. We created it, it is fake. Just turn it off. Weâ€™re going to let it get out of hand and itâ€™ll be the end of us.",11.92,23,Female,Northeast,Black,8,77500,10455,28,1,0,0,0,0,0,1,0,0.2,6,some_college,18_34,75000_99999,1.12156384
(5) no,(3) probably yes,(5) no,(3) probably yes,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(5) no,3,5,3,3,3,5.14,5.26,5.08,5.02,5.2,5.26,5.02,4.96,4.96,4.9,4.9,4.96,Yes,Not sure,Yes,5,It's fine.,6,5,6,3,5,3,3,5,3,5,3,3,3,3,3,3,5,6,6,6,6,6,5,5,5,59,62,66,66,67,67,64,64,67,64,93,66,67,64,5,5,3,5,5,5,Not sure,Not sure,Not sure,10,10,10,5,3,4.84,3,One with humans,Somewhat concerned,Not very likely,Somewhat support,Somewhat support,5,5,5,5,(2) agree,No,No,No,"[""None of the above""]",0,0,2.8,Buddhist,,Other restrictions,,12.2,71,Male,West,Asian,9,32500,96734,29,0,1,0,0,0,0,0,1,0,2,associates,55_,25000_49999,0.981858226
(5) no,(5) no,(6) definitely no,(3) probably yes,(5) no,(5) no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(3) probably yes,(3) probably yes,(2) yes,(4) probably no,(5) no,(3) probably yes,4,2,3,5,3,5.44,3.16,3.76,4.36,5.02,2.56,5.38,2.2,5.38,5.2,5.68,5.02,No,Yes,Not sure,6,It's too fast.,3,2,5,6,6,2,7,7,6,2,7,5,7,5,6,2,3,3,5,3,1,5,6,5,3,37,72,27,26,32,30,79,57,37,96,73,85,25,73,5,3,6,5,3,2,Yes,Not sure,Not sure,0,10,0,2,3,1,1,One with humans,Not very concerned,Somewhat likely,Strongly support,Strongly support,6,6,6,6,(2) agree,Yes,Yes,Yes,"[""None of the above""]",1,3,2.48,Protestant,,Meat-eater,,31.9,62,Female,South,Black,8,32500,71112,30,0,0,0,0,0,0,0,1,0,5,some_college,55_,25000_49999,1.088759158
(6) definitely no,(6) definitely no,(6) definitely no,(2) yes,(5) no,(5) no,(1) definitely yes,(3) probably yes,(4) probably no,(5) no,(6) definitely no,(5) no,(2) yes,(6) definitely no,(3) probably yes,(4) probably no,1,1,5,5,4,4,4,4,1,4.24,1,6.34,6.1,3.94,5.74,4.6,5.32,No,Yes,Yes,4,It's fine.,4,1,3,2,3,4,1,1,1,6,1,2,3,7,4,4,6,4,7,6,5,7,7,7,7,0,0,0,100,0,50,0,0,0,50,0,50,0,0,7,7,7,3,7,3,No,Yes,No,0,0,0,5,4,1,1,One without humans,Not at all concerned,It is already more intelligent than people,Strongly oppose,Strongly oppose,7,7,7,7,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",5,1,3.28,Other,Ambiguously spiritual,Meat-eater,No further feedback.,20.13,20,Female,Midwest,Black,7,2500,43920,31,0,0,0,1,1,1,1,0,0.8,4,some_college,18_34,_24999,0.903145284
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,3,3,4,4,4,4,4,4,4,4,4,2.8,5.08,3.58,2.14,4.78,3.28,Not sure,Not sure,Not sure,4,It's too fast.,5,3,4,4,4,4,4,1,2,6,4,4,4,4,4,4,3,2,4,3,2,3,3,3,3,35,35,50,50,50,50,50,45,50,50,50,60,40,36,4,3,4,3,4,3,No,Not sure,No,30,50,50,3,5,3.1,3,One with humans,Not very concerned,Somewhat likely,Not sure,Not sure,4,4,4,4,(2) agree,No,No,Yes,"[""None of the above""]",0,2,3,None,,Meat-eater,,35.78,61,Female,Midwest,Asian,10,137500,48382,32,1,0,0,0,0,0,0,1,0,3,bachelors,55_,100000_,0.817483271
(1) definitely yes,(1) definitely yes,(1) definitely yes,(1) definitely yes,(5) no,(4) probably no,(3) probably yes,(1) definitely yes,(1) definitely yes,(5) no,(1) definitely yes,(1) definitely yes,(1) definitely yes,(4) probably no,(1) definitely yes,(3) probably yes,3,5,3,3,3,4,4.18,3.76,2.74,4,1.96,4,4,1,4,4,4,No,No,Yes,7,Not sure,1,7,7,5,5,3,3,1,5,7,5,5,5,5,1,7,5,2,6,1,1,1,5,5,5,100,100,100,74,99,43,44,92,92,100,28,58,100,100,5,1,7,3,7,5,Yes,Yes,No,1,1,1,7,7,1.12,1,One with humans,Very concerned,Very likely,Somewhat oppose,Somewhat oppose,7,7,7,7,(2) agree,Yes,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status""]",0,3,3.08,Protestant,,Other restrictions,,21.18,41,Male,Northeast,Black,8,17500,5403,33,0,1,0,1,0,1,0,0,0.4,7,some_college,35_54,_24999,1.104356781
(5) no,(6) definitely no,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(3) probably yes,(4) probably no,(5) no,(5) no,5,5,5,7,7,4.78,2.02,5.08,1.9,3.34,1.66,2.5,4.48,2.92,5.86,2.38,3.34,No,No,Not sure,5,It's too fast.,3,7,3,7,7,7,7,7,7,7,5,7,7,7,7,7,3,2,3,3,3,3,5,5,3,69,72,28,33,71,27,67,65,35,27,70,32,37,68,5,1,3,3,5,3,No,Not sure,No,5,5,10,7,5,1.12,1,One with humans,Very concerned,Very likely,Strongly support,Strongly support,7,2,7,5,(2) agree,No,No,No,"[""None of the above""]",0,2,2.32,Other,Baptist,Meat-eater,,21.8,51,Female,Northeast,Black,8,22500,19121,34,0,0,0,0,0,0,0,1,0,5,some_college,35_54,_24999,0.959475718
(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(3) probably yes,(5) no,(3) probably yes,(5) no,2,2,1,1,5,1.12,1.06,1.18,1.06,1.06,1.06,1,1.12,1,1.12,1,1,No,No,Yes,7,Not sure,5,7,1,7,7,7,7,1,7,7,7,7,7,5,5,5,4,1,4,1,1,1,4,1,1,0,0,3,5,1,2,0,2,2,6,1,1,1,1,4,1,4,1,4,1,No,No,No,2050,2050,2050,7,7,1.3,1,One with humans,Very concerned,Very likely,Strongly oppose,Strongly oppose,6,1,6,6,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,4.76,None,,Meat-eater,,15.52,44,Female,Northeast,Hispanic,7,97500,8638,35,1,0,0,0,0,0,1,0,0.2,3,some_college,35_54,75000_99999,1.096028783
No opinion,(5) no,(5) no,(5) no,No opinion,(5) no,(2) yes,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,No opinion,No opinion,6,5,4,4,5,3.1,4.78,2.38,2.14,4.6,4.54,2.5,1.72,4.78,5.02,2.86,5.56,Not sure,Not sure,Yes,5,Not sure,4,6,5,5,6,4,7,6,4,4,5,4,6,4,4,4,6,6,5,4,6,6,6,4,4,77,13,70,83,5,22,60,67,78,64,60,8,11,17,4,6,6,6,4,6,Not sure,Yes,Not sure,1,1,1,6,6,3.4,5,One with humans,Not very concerned,Not sure,Somewhat support,Not sure,6,6,6,6,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3,Protestant,,Meat-eater,,4.73,26,Female,Midwest,Black,5,2500,45232,36,0,0,0,0,0,0,0,1,0,4,high,18_34,_24999,0.840575362
(5) no,(2) yes,(3) probably yes,(2) yes,(5) no,(3) probably yes,(2) yes,(5) no,(5) no,(2) yes,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,3,3,3,3,3,3.46,3.22,2.92,2.44,3.04,1.54,4.66,3.64,1.06,1,4,2.38,No,No,No,2,It's too fast.,4,5,5,7,7,1,3,5,5,7,5,5,5,6,5,3,2,1,2,3,1,2,2,3,1,20,0,91,20,63,24,11,5,5,9,30,57,50,6,3,1,2,2,3,1,No,Yes,No,10,25,50,7,1,4.84,5,One with humans,Somewhat concerned,Very likely,Strongly support,Strongly support,6,3,5,5,(2) agree,No,No,Yes,"[""Read a book or article that discussed AI ethics or moral status""]",0,2,4.56,Catholic,,Meat-eater,"I, Robot by Asimov is still not been proven wrong. Heed the warning.",25.77,60,Male,South,Hispanic,10,37500,75010,37,0,0,0,0,0,1,0,0,0.2,4,bachelors,55_,25000_49999,0.995145194
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(4) probably no,(5) no,4,5,5,5,4,5.68,5.14,5.02,3.88,5.68,3.46,5.2,4.72,5.44,5.56,5.86,5.62,Not sure,Not sure,Not sure,5,It's fine.,6,1,6,3,3,5,3,3,3,5,3,3,3,2,3,3,5,3,5,5,2,5,6,3,5,65,68,60,66,64,64,66,61,63,52,64,67,63,63,5,5,5,2,3,4,No,Not sure,Not sure,5,25,20,5,5,5.98,2,One with humans,Not very concerned,Not very likely,Somewhat oppose,Somewhat oppose,5,5,5,6,(2) agree,No,No,No,"[""None of the above""]",1,2,3.12,None,,Meat-eater,,6.68,29,Male,Northeast,Black,5,112500,15112,38,1,0,0,0,0,0,0,1,0,2,high,18_34,100000_,1.205714876
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(4) probably no,(5) no,(5) no,(5) no,5,5,5,5,4,4.12,5.44,3.04,2.92,1,1,3.82,7,1.24,7,4.54,5.56,No,No,Yes,5,Not sure,6,7,5,4,4,3,5,6,2,4,5,7,5,7,7,7,6,4,6,6,4,7,7,7,7,24,65,50,71,78,86,50,82,72,58,81,87,77,73,7,4,7,4,7,4,Not sure,Yes,Not sure,0,0,0,7,5,1,1,One with humans,Very concerned,Very likely,Somewhat support,Somewhat support,7,7,7,7,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a family member or friend about robots/AIs""]",0,1,3,Other,I believe in certain things but not sure what it would be considered,Meat-eater,,26.52,27,Female,West,Hispanic,8,37500,92026,39,0,0,0,1,0,0,1,0,0.4,2,some_college,18_34,25000_49999,1.069425572
(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(4) probably no,(3) probably yes,(5) no,(3) probably yes,(5) no,3,3,2,5,2,4.78,3.64,3.64,3.58,4.24,3.7,3.64,4.12,3.76,3.46,4.18,3.64,No,No,Yes,5,It's too fast.,3,3,6,6,6,2,6,6,6,6,6,6,6,5,5,5,3,2,5,3,3,3,5,5,5,44,44,53,47,43,42,44,45,44,45,47,45,43,44,4,2,5,5,5,5,Not sure,No,No,3,5,5,6,3,2.56,2,One with humans,Very concerned,Very likely,Strongly support,Somewhat oppose,6,6,6,7,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",5,3,2.32,Protestant,,Meat-eater,,29.92,43,Female,South,Hispanic,10,112500,34746,40,0,0,0,0,0,0,1,0,0.2,5,bachelors,35_54,100000_,0.866814619
(5) no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,5,4,5,3,4,3.58,4.12,4,2.44,4.6,3.34,4.36,4.72,1,1.12,2.38,4.66,Not sure,Not sure,Not sure,5,It's too fast.,6,1,3,3,3,5,6,6,1,6,5,6,5,6,6,7,4,4,6,4,1,4,7,6,4,17,18,47,78,7,58,57,41,43,27,64,83,7,20,5,3,5,1,6,1,No,Not sure,No,0,6,3,2,3,1,3,One without humans,Not at all concerned,Somewhat likely,Somewhat oppose,Not sure,7,7,7,7,(2) agree,No,No,Yes,"[""Saw a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",0,1,1,None,,Meat-eater,,17.1,30,Female,Northeast,Hispanic,9,12500,8030,41,1,0,1,0,1,0,1,0,0.6,2,associates,18_34,_24999,0.770676934
(5) no,(2) yes,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,4,4,4,4,4,4.72,4.12,3.94,4.3,4.72,4.06,3.7,3.94,3.82,3.76,3.64,3.82,Not sure,Yes,Not sure,6,It's fine.,4,4,4,4,4,4,4,5,7,4,5,6,5,4,4,4,1,1,4,4,4,4,4,4,4,46,36,37,32,39,38,38,45,37,19,44,44,42,46,4,4,4,4,4,5,Not sure,No,Not sure,0,0,0,5,5,3.64,4,One with humans,Not sure,Very likely,Somewhat oppose,Somewhat oppose,4,5,5,5,(2) agree,No,No,No,"[""None of the above""]",0,0,4.96,Muslim,,Meat-eater,None,16.77,45,Male,West,Black,7,22500,92301,42,0,0,0,0,0,0,0,1,0,4,some_college,35_54,_24999,1.05468794
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(6) definitely no,(2) yes,(5) no,(5) no,(5) no,4,4,4,4,4,2.5,2.26,2.86,2.5,2.5,2.14,1.96,1.78,1.84,2.26,1.96,2.38,No,No,Not sure,4,Not sure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,12,13,13,13,15,14,12,13,17,15,15,14,16,4,4,4,4,4,4,Not sure,Not sure,Not sure,-1,-1,-1,4,4,5.26,4,One without humans,Not sure,Not sure,Not sure,Not sure,4,4,4,4,(2) agree,No,No,No,"[""None of the above""]",0,0,2.2,Agnostic,,Meat-eater,,8.48,32,Male,South,Black,10,32500,21229,43,1,0,0,0,0,0,0,1,0,4,bachelors,18_34,25000_49999,1.038121224
(5) no,(2) yes,(5) no,(1) definitely yes,(5) no,(6) definitely no,(1) definitely yes,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,6,6,6,6,6,5.98,6.58,6.58,6.58,5.98,5.98,6.88,6.88,6.88,6.88,6.88,6.88,Yes,No,Yes,6,Not sure,6,6,6,6,1,5,6,6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,6,5,5,99,98,99,98,98,99,98,98,99,99,98,99,98,99,6,6,6,1,1,6,No,No,No,39,29,19,6,5,6.88,6,One with humans,Not very concerned,Very likely,Somewhat oppose,Somewhat oppose,6,5,6,6,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",2,2,3.88,Protestant,,Vegetarian,,48.17,34,Female,Northeast,Hispanic,11,300000,11379,44,0,1,0,0,1,1,1,0,0.6,2,post_grad,18_34,100000_,0.954152217
(5) no,(3) probably yes,(5) no,(3) probably yes,(5) no,(5) no,(4) probably no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,1,1,1,1,1.36,1.6,1.6,1.78,2.44,1.36,1.9,2.14,1.9,2.44,2.98,3.04,No,No,Yes,3,Not sure,7,5,5,6,1,1,6,7,4,7,3,6,7,4,4,4,1,1,4,2,1,1,6,2,2,11,13,5,20,11,12,8,10,11,7,13,11,8,13,1,1,1,1,4,1,Yes,Yes,Not sure,1,1,1,5,6,5.62,6,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Somewhat support,6,5,5,6,(2) agree,No,No,Yes,"[""None of the above""]",1,2,2.4,Undisclosed,,Other restrictions,good,6.18,36,Male,Northeast,Hispanic,12,112500,10453,45,1,1,0,0,0,0,0,1,0,1,post_grad,35_54,100000_,1.096855982
(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(1) definitely yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,5,7,6,6,6,5.98,5.8,6.82,6.4,6.04,5.86,5.8,5.8,5.62,5.98,5.98,6.1,Yes,Yes,Yes,6,It's fine.,7,6,6,6,6,3,6,6,5,6,6,6,5,6,7,6,6,7,6,6,6,7,3,6,5,84,85,82,78,73,86,84,75,93,88,83,83,87,92,6,5,5,5,1,6,Not sure,Yes,Not sure,3,2,3,6,6,5.74,6,One without humans,Very concerned,Very likely,Somewhat support,Strongly support,5,5,7,5,(2) agree,No,No,No,"[""Saw a robot being physically abused or attacked by humans"",""None of the above""]",4,4,1.44,None,,Meat-eater,,8.97,27,Male,Northeast,Hispanic,5,67500,7604,46,1,0,1,0,0,0,0,1,0.2,1,high,18_34,50000_74999,1.188335067
(6) definitely no,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,5,1,2,4,1,1.12,1.12,1.12,1.06,1.12,1.18,4.06,6.94,1,1.42,2.5,1,No,No,Yes,7,It's too fast.,2,6,7,7,7,1,7,7,7,7,7,7,7,7,7,7,4,1,4,4,4,4,6,7,5,0,0,47,0,0,0,0,0,17,0,0,49,94,96,4,6,7,7,2,7,No,Not sure,No,5,3,2,2,2,1.18,1,One without humans,Somewhat concerned,Very likely,Strongly support,Strongly support,7,7,7,7,(2) agree,No,Yes,No,"[""Had a conversation with a robot/AI""]",1,1,1,None,,Meat-eater,,7.83,41,Female,Northeast,Asian,10,92500,11385,47,1,0,0,0,1,0,0,0,0.2,6,bachelors,35_54,75000_99999,0.883348602
(4) probably no,(4) probably no,(4) probably no,(4) probably no,(3) probably yes,(4) probably no,(3) probably yes,(4) probably no,(4) probably no,(2) yes,(4) probably no,(3) probably yes,(1) definitely yes,(4) probably no,(4) probably no,(3) probably yes,2,7,2,5,3,5.5,5.56,5.02,2.74,6.64,1.18,4.84,4.6,5.02,5.26,4.84,3.34,Not sure,Not sure,Yes,6,Not sure,5,3,3,6,3,5,5,3,7,7,7,7,7,5,5,6,3,2,3,2,3,3,5,6,5,24,17,22,23,15,18,56,55,25,30,13,82,26,28,6,5,3,6,6,5,Not sure,Not sure,Not sure,1,1,1,5,5,1.6,1,One with humans,Not very concerned,Somewhat likely,Somewhat support,Somewhat oppose,7,7,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,4.84,Catholic,,Meat-eater,Good,19.5,32,Male,West,Hispanic,5,37500,95341,48,0,0,0,0,0,0,1,0,0.2,3,high,18_34,25000_49999,1.145631685
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,1,1,1,1,1,1,1.12,1.06,1.06,1,1.06,1,1,1,1,1,1,No,No,Yes,7,It's too fast.,1,7,1,4,7,1,7,7,5,1,7,7,7,7,7,7,1,1,1,1,1,1,1,4,1,2,2,1,2,1,2,2,83,1,84,1,2,92,86,4,1,1,1,5,1,Not sure,Not sure,Not sure,2090,2090,2090,5,1,1,1,One with humans,Very concerned,Very likely,Strongly support,Not sure,7,7,7,7,(2) agree,No,No,Yes,"[""None of the above""]",0,1,4.6,Catholic,,Meat-eater,,16.85,30,Female,Midwest,Hispanic,10,17500,45431,49,0,0,0,0,0,0,0,1,0,7,bachelors,18_34,_24999,0.717194306
(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,(2) yes,(6) definitely no,(5) no,(3) probably yes,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,1,1,1,1,1,1.3,1.12,1.18,1.18,1.24,1.24,1,1,1,1,1,1,No,No,Yes,7,Not sure,6,1,5,7,7,1,7,4,7,4,1,6,6,7,7,7,1,1,7,7,1,1,1,1,1,3,3,3,4,1,4,2,2,3,3,1,2,1,3,4,4,1,1,7,1,Not sure,Not sure,Not sure,10,5,10,7,5,1.24,1,One with humans,Very concerned,Not at all likely,Strongly support,Strongly support,7,7,7,7,(2) agree,Yes,No,No,"[""None of the above""]",0,1,1,Protestant,,Meat-eater,,16.85,44,Female,South,Black,7,12500,32503,50,0,0,0,0,0,0,0,1,0,2,some_college,35_54,_24999,0.931696155
(5) no,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(2) yes,(5) no,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,3,4,5,4,4,5.56,5.32,2.32,5.56,5.86,6.22,2.44,6.04,2.74,1.42,5.86,4.78,No,Yes,No,5,Not sure,5,1,4,4,3,3,2,3,3,7,3,3,3,3,4,1,4,3,4,5,4,5,4,5,2,0,0,0,80,16,89,84,8,50,83,100,88,7,34,1,1,4,2,4,4,Not sure,No,No,2,0,2,7,6,3.34,4,One with humans,Not at all concerned,Not very likely,Somewhat oppose,Not sure,3,6,7,7,(2) agree,No,No,Yes,"[""None of the above""]",4,3,3.04,None,,Other restrictions,,30.37,72,Male,South,Black,9,37500,77640,51,1,1,0,0,0,0,0,1,0,3,associates,55_,25000_49999,1.027450026
(5) no,(6) definitely no,(5) no,(2) yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(5) no,(6) definitely no,(3) probably yes,(3) probably yes,(6) definitely no,(5) no,(5) no,5,5,5,6,2,4,1,4,4,7,1,4,4,1,1,1,4,No,Not sure,Yes,5,Not sure,2,1,6,5,4,4,6,4,4,4,4,6,1,5,5,5,5,1,2,1,1,1,6,6,6,0,0,50,50,0,50,0,0,50,0,0,0,0,0,6,5,7,2,2,1,No,No,No,-1,-1,-1,1,2,4,6,One with humans,Not at all concerned,Not at all likely,Somewhat support,Strongly support,5,6,6,2,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,3,3,Catholic,,Meat-eater,Your survey was interesting and perfectly-spaced out,8.32,29,Female,West,Asian,10,47500,95035,52,0,0,0,1,0,1,1,0,0.6,6,bachelors,18_34,25000_49999,0.861907642
No opinion,No opinion,No opinion,(1) definitely yes,No opinion,(3) probably yes,(1) definitely yes,(5) no,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,7,7,6,7,7,6.94,7,7,6.88,7,7,6.82,6.94,7,7,7,7,Yes,Yes,Yes,7,It's fine.,4,6,1,6,6,2,6,5,7,7,5,5,7,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,3,1,3,1,1,2,0,1,1,2,1,4,4,4,4,4,1,Yes,Yes,Yes,3,1,2,7,7,1,1,One with humans,Very concerned,Very likely,Somewhat support,Somewhat oppose,7,7,7,7,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",4,4,1.12,Other,Christian Baptist,Meat-eater,Keep it the same,16.48,46,Male,Northeast,Black,5,32500,19114,53,0,0,0,0,0,0,1,0,0.2,4,high,35_54,25000_49999,1.224462639
(3) probably yes,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,No opinion,(3) probably yes,(6) definitely no,(3) probably yes,(5) no,(5) no,(6) definitely no,(6) definitely no,(4) probably no,(6) definitely no,1,2,1,1,1,4.9,5.38,5.02,5.74,5.74,4.6,5.2,2.86,4.84,2.56,2.68,2.74,No,No,Not sure,3,It's too fast.,3,6,1,2,7,1,6,6,2,6,1,2,2,1,2,2,1,1,2,1,2,1,6,1,1,8,26,24,23,11,14,16,10,13,22,10,21,26,24,1,1,1,1,1,1,No,No,No,2,1,3,1,1,5.2,6,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,6,6,1,7,(2) agree,No,Yes,No,"[""None of the above""]",0,0,4.88,Protestant,none,Meat-eater,,4.87,40,Female,South,Hispanic,10,92500,37865,54,0,0,0,0,0,0,0,1,0,5,bachelors,35_54,75000_99999,0.863773863
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,4,3,5,4,3,4.9,4.6,5.08,5.38,5.56,4.66,4.3,6.94,4.54,4.84,5.14,4.78,Not sure,Not sure,Yes,6,Not sure,5,2,6,4,4,4,4,4,4,5,2,3,2,4,4,4,6,2,4,4,2,4,4,4,4,0,5,32,0,0,4,5,0,0,0,4,3,0,0,6,4,4,2,7,4,No,No,No,0,1,0,5,2,1.36,2,One with humans,Not at all concerned,Not very likely,Not sure,Not sure,6,5,7,7,(2) agree,No,No,Yes,"[""None of the above""]",0,0,1,Other,Jehovahâ€™s Witness,Meat-eater,,34.67,73,Female,South,Black,10,32500,30906,55,0,0,0,0,0,0,0,1,0,3,bachelors,55_,25000_49999,0.883628277
